,start station name,end station name,tripduration,usertype,gender
259849,Laight St & Hudson St,Great Jones St,591,Subscriber,1
453492,E 19 St & 3 Ave,E 16 St & 5 Ave,1015,Subscriber,1
155493,W 26 St & 10 Ave,9 Ave & W 14 St,792,Subscriber,1
170444,E 17 St & Broadway,E 11 St & 1 Ave,570,Subscriber,2
249403,E 53 St & Lexington Ave,1 Ave & E 18 St,1114,Subscriber,1
469962,W 43 St & 10 Ave,E 17 St & Broadway,510,Subscriber,1
139567,E 10 St & Avenue A,W 13 St & 7 Ave,659,Subscriber,1
300412,E 19 St & 3 Ave,Lafayette St & E 8 St,1040,Subscriber,1
49398,Henry St & Grand St,Pershing Square North,1519,Subscriber,1
405166,Front St & Maiden Ln,1 Ave & E 44 St,1773,Subscriber,1
360652,1 Ave & E 18 St,Macon St & Nostrand Ave,1203,Subscriber,1
385003,Central Park S & 6 Ave,Broadway & W 58 St,1015,Subscriber,2
125164,Stanton St & Chrystie St,Lispenard St & Broadway,793,Subscriber,2
203839,Christopher St & Greenwich St,Washington Pl & 6 Ave,1066,Subscriber,1
497888,W 47 St & 10 Ave,W 27 St & 7 Ave,877,Subscriber,2
277239,Broadway & E 14 St,Allen St & Rivington St,381,Subscriber,2
414081,Broadway & E 14 St,Carmine St & 6 Ave,531,Subscriber,1
